"Stage","TermCount","Terms","CV_RMSE_Mean","CV_RMSE_Std","CV_R2","Fold_RMSE"
"M2","8","Sn + Br + Cl + Sn^2 + Br^2 + Sn*Br + Sn*Cl + Br*Cl","0.0653760351555947","0.00868379843487062","0.954651427905977","0.07663179;0.06155917;0.06550498;0.05347669;0.06970753"
"M2","4","Sn + Br + Cl + Cl^2","0.0878587876627376","0.0130895778633399","0.917760404468801","0.10544588;0.09032995;0.09022784;0.08415617;0.06913410"
"M2","5","Sn + Br + Cl + Cl^2 + Sn*Br","0.088609885162233","0.0130493294962736","0.916376151476383","0.10417765;0.09216050;0.09385356;0.08356773;0.06928999"
"M2","5","Sn + Br + Cl + Cl^2 + Sn*Cl","0.091637859855599","0.00828528650875259","0.911560894491309","0.10590191;0.09014341;0.09006944;0.08467821;0.08739632"
"M2","6","Sn + Br + Cl + Cl^2 + Sn*Br + Sn*Cl","0.0912228724096056","0.00913728069184008","0.912210796328765","0.10469910;0.09204917;0.09377403;0.08404832;0.08154375"
"M2","5","Sn + Br + Cl + Cl^2 + Br*Cl","0.0879545590586882","0.0128769792306061","0.917629158616211","0.10440571;0.09344464;0.08882876;0.08366894;0.06942474"
"M2","6","Sn + Br + Cl + Cl^2 + Sn*Br + Br*Cl","0.0904060095480788","0.0142130001943442","0.912733302839825","0.10081903;0.10502585;0.09344481;0.08279760;0.06994276"
"M2","6","Sn + Br + Cl + Cl^2 + Sn*Cl + Br*Cl","0.0922430114708007","0.00736000033531417","0.910527070765886","0.10408064;0.09251744;0.08901958;0.08415320;0.09144419"
"M2","7","Sn + Br + Cl + Cl^2 + Sn*Br + Sn*Cl + Br*Cl","0.092803736256052","0.00988259498388255","0.909036730707315","0.10061982;0.10387981;0.09413799;0.08321870;0.08216236"
"M2","5","Sn + Br + Cl + Sn^2 + Cl^2","0.0689463805267857","0.0132165204594382","0.948763422403352","0.09024842;0.06760945;0.07066125;0.05971728;0.05649550"
"M2","6","Sn + Br + Cl + Sn^2 + Cl^2 + Sn*Br","0.0671988397913121","0.0122997934046658","0.951449365368874","0.08625323;0.06758074;0.06950742;0.05603085;0.05662196"
"M2","6","Sn + Br + Cl + Sn^2 + Cl^2 + Sn*Cl","0.0731940162538614","0.0118943503353028","0.942786704240263","0.08600244;0.06682798;0.06796484;0.05967927;0.08549555"
"M2","7","Sn + Br + Cl + Sn^2 + Cl^2 + Sn*Br + Sn*Cl","0.0693233191377809","0.00960815628591784","0.948942796516398","0.08269238;0.06729962;0.06743794;0.05628251;0.07290415"
"M2","6","Sn + Br + Cl + Sn^2 + Cl^2 + Br*Cl","0.0689080731291089","0.0128541191504384","0.948899283927361","0.08966745;0.06805899;0.07013890;0.05979569;0.05687934"
"M2","7","Sn + Br + Cl + Sn^2 + Cl^2 + Sn*Br + Br*Cl","0.0686418644891251","0.0122418134799771","0.949404953648138","0.08395611;0.07736323;0.06856083;0.05567910;0.05765005"
"M2","7","Sn + Br + Cl + Sn^2 + Cl^2 + Sn*Cl + Br*Cl","0.0734067799613321","0.0126081583915421","0.942322867390237","0.08497212;0.06608792;0.06781177;0.05965319;0.08850891"
"M2","8","Sn + Br + Cl + Sn^2 + Cl^2 + Sn*Br + Sn*Cl + Br*Cl","0.0701233328120733","0.00912378577812843","0.947847912875074","0.07973653;0.07401982;0.06777725;0.05566570;0.07341736"
"M2","5","Sn + Br + Cl + Br^2 + Cl^2","0.0857761881467465","0.0129255070080776","0.921581464757113","0.10123558;0.08668488;0.09157320;0.08333091;0.06605636"
"M2","6","Sn + Br + Cl + Br^2 + Cl^2 + Sn*Br","0.086614289085051","0.0131753348882216","0.920009886157886","0.10173977;0.08914300;0.09272740;0.08307842;0.06638286"
"M2","6","Sn + Br + Cl + Br^2 + Cl^2 + Sn*Cl","0.0891246231241942","0.00783832916787569","0.916369822707813","0.10160318;0.08655043;0.09155900;0.08378236;0.08212815"
"M2","7","Sn + Br + Cl + Br^2 + Cl^2 + Sn*Br + Sn*Cl","0.0894527309222869","0.00856615036308221","0.915646591360256","0.10203118;0.08898562;0.09271606;0.08353183;0.07999896"
"M2","6","Sn + Br + Cl + Br^2 + Cl^2 + Br*Cl","0.085877522078999","0.0124207282248152","0.921505914120668","0.09989055;0.09019748;0.08994480;0.08288233;0.06647245"
"M2","7","Sn + Br + Cl + Br^2 + Cl^2 + Sn*Br + Br*Cl","0.08821191902225","0.0137955991487088","0.916937109038292","0.09857514;0.10116899;0.09167589;0.08241237;0.06722720"
"M2","7","Sn + Br + Cl + Br^2 + Cl^2 + Sn*Cl + Br*Cl","0.089729933914755","0.00608258009500292","0.915450969268032","0.09942675;0.08926955;0.09038047;0.08329452;0.08627838"
"M2","8","Sn + Br + Cl + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Br*Cl","0.0908219746641498","0.00874649860233049","0.913028901791323","0.09818701;0.09996233;0.09240562;0.08280235;0.08075257"
"M2","6","Sn + Br + Cl + Sn^2 + Br^2 + Cl^2","0.0637229802833489","0.0124351568677992","0.95618627029096","0.08255472;0.05984406;0.06927419;0.05544941;0.05149252"
"M2","7","Sn + Br + Cl + Sn^2 + Br^2 + Cl^2 + Sn*Br","0.0631346756552292","0.0118003581345539","0.9570954210739","0.08100884;0.06217096;0.06715977;0.05345091;0.05188289"
"M2","7","Sn + Br + Cl + Sn^2 + Br^2 + Cl^2 + Sn*Cl","0.0673107659592678","0.010309443510414","0.95172325937688","0.07792300;0.05919310;0.06695381;0.05519184;0.07729209"
"M2","8","Sn + Br + Cl + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl","0.0656786821659992","0.00892505061501638","0.954203130930475","0.07690855;0.06172128;0.06523811;0.05350706;0.07101841"
"M2","7","Sn + Br + Cl + Sn^2 + Br^2 + Cl^2 + Br*Cl","0.0636620422400665","0.0117784189817931","0.956403152855515","0.08165357;0.06034303;0.06851227;0.05564993;0.05215139"
"M2","8","Sn + Br + Cl + Sn^2 + Br^2 + Cl^2 + Sn*Br + Br*Cl","0.0642804406091416","0.0111907376759936","0.955682754192875","0.07894149;0.07053575;0.06551476;0.05325695;0.05315325"
"M2","8","Sn + Br + Cl + Sn^2 + Br^2 + Cl^2 + Sn*Cl + Br*Cl","0.0674623755605515","0.0111239260751848","0.951373325850755","0.07646735;0.05810769;0.06672357;0.05525459;0.08075868"
"M2","9","Sn + Br + Cl + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Br*Cl","0.0660942279345784","0.00821791596627073","0.953730873385164","0.07424267;0.06689076;0.06464945;0.05304652;0.07164175"
"M3","4","Sn + Br + Cl + Cs","0.0863137388041093","0.0144032134148964","0.920260898945287","0.10351329;0.09057675;0.09142558;0.08129038;0.06476270"
"M3","5","Sn + Br + Cl + Cs + Sn*Br","0.0868459841060341","0.0143983443975901","0.919292926923092","0.10188630;0.09355612;0.09317783;0.08066652;0.06494315"
"M3","5","Sn + Br + Cl + Cs + Sn*Cl","0.0900611619296945","0.00795730202737331","0.914594052734837","0.10242669;0.09055667;0.09089477;0.08153212;0.08489557"
"M3","6","Sn + Br + Cl + Cs + Sn*Br + Sn*Cl","0.0894328681043026","0.00932044413771283","0.915558085698556","0.10094162;0.09368121;0.09281550;0.08095295;0.07877306"
"M3","5","Sn + Br + Cl + Cs + Br*Cl","0.086893269931099","0.0141922575559084","0.919261869750971","0.10449123;0.09104596;0.09133894;0.08140627;0.06618394"
"M3","6","Sn + Br + Cl + Cs + Sn*Br + Br*Cl","0.0873941769164038","0.0141685970609723","0.918349125555117","0.10287232;0.09389047;0.09315208;0.08072271;0.06633331"
"M3","6","Sn + Br + Cl + Cs + Sn*Cl + Br*Cl","0.0904264403935952","0.00845364724571261","0.913831836024014","0.10344490;0.09110191;0.09163677;0.08167305;0.08427557"
"M3","7","Sn + Br + Cl + Cs + Sn*Br + Sn*Cl + Br*Cl","0.089717321634242","0.00998962089231336","0.914912127278024","0.10200473;0.09407987;0.09354519;0.08103314;0.07792367"
"M3","5","Sn + Br + Cl + Cs + Cs*Sn","0.0857708183683969","0.0120185771310549","0.921781780590567","0.10072983;0.08927061;0.08891533;0.08198788;0.06795044"
"M3","6","Sn + Br + Cl + Cs + Sn*Br + Cs*Sn","0.0864148584446084","0.0127819020205257","0.920453468662872","0.09993792;0.09151765;0.09241543;0.08135970;0.06684358"
"M3","6","Sn + Br + Cl + Cs + Sn*Cl + Cs*Sn","0.0888915613023443","0.00775417119745282","0.916811872200355","0.10124275;0.08939820;0.08926063;0.08206786;0.08248836"
"M3","7","Sn + Br + Cl + Cs + Sn*Br + Sn*Cl + Cs*Sn","0.0888483148759501","0.00916456968172524","0.91667482232162","0.10044373;0.09215538;0.09243160;0.08145818;0.07775269"
"M3","6","Sn + Br + Cl + Cs + Br*Cl + Cs*Sn","0.0861992583823824","0.012231679231791","0.920966513350742","0.10181866;0.08973808;0.08893084;0.08214361;0.06836510"
"M3","7","Sn + Br + Cl + Cs + Sn*Br + Br*Cl + Cs*Sn","0.0868585013600504","0.0128889816279164","0.919625205116925","0.10097691;0.09186915;0.09257700;0.08145845;0.06741099"
"M3","7","Sn + Br + Cl + Cs + Sn*Cl + Br*Cl + Cs*Sn","0.0894078185392863","0.00849665528384107","0.915742689303126","0.10281551;0.08993011;0.09017975;0.08223668;0.08187704"
"M3","8","Sn + Br + Cl + Cs + Sn*Br + Sn*Cl + Br*Cl + Cs*Sn","0.0892801491097852","0.00998508234254082","0.915733233461814","0.10196510;0.09258692;0.09330098;0.08157022;0.07697752"
"M3","5","Sn + Br + Cl + Cs + Cs*Br","0.086203136043885","0.0145864266292648","0.920416734026054","0.10370302;0.09021004;0.09113390;0.08178690;0.06418182"
"M3","6","Sn + Br + Cl + Cs + Sn*Br + Cs*Br","0.0869194774772913","0.0146227422575011","0.919104112162302","0.10233419;0.09331837;0.09341986;0.08093695;0.06458803"
"M3","6","Sn + Br + Cl + Cs + Sn*Cl + Cs*Br","0.0898546253959243","0.00796697646995728","0.914981517716273","0.10242854;0.09014381;0.09065427;0.08209341;0.08395310"
"M3","7","Sn + Br + Cl + Cs + Sn*Br + Sn*Cl + Cs*Br","0.0894486739223958","0.00951309559829518","0.915497105806149","0.10122475;0.09335693;0.09320701;0.08129445;0.07816023"
"M3","6","Sn + Br + Cl + Cs + Br*Cl + Cs*Br","0.0868325513391735","0.0144135845614354","0.919319433488129","0.10489433;0.09068116;0.09109045;0.08179348;0.06570333"
"M3","7","Sn + Br + Cl + Cs + Sn*Br + Br*Cl + Cs*Br","0.0875220974029438","0.0144224083481875","0.918053244519227","0.10349664;0.09370167;0.09341297;0.08093895;0.06606026"
"M3","7","Sn + Br + Cl + Cs + Sn*Cl + Br*Cl + Cs*Br","0.0903065146038063","0.00856401752138248","0.91404251228873","0.10366320;0.09065729;0.09157794;0.08209408;0.08354006"
"M3","8","Sn + Br + Cl + Cs + Sn*Br + Sn*Cl + Br*Cl + Cs*Br","0.0898138477663776","0.0102260291226343","0.914689514396619","0.10245358;0.09378213;0.09406037;0.08129547;0.07747769"
"M3","6","Sn + Br + Cl + Cs + Cs*Sn + Cs*Br","0.085434696867936","0.0120754442513082","0.922374216496962","0.10032066;0.08841283;0.08870448;0.08257465;0.06716087"
"M3","7","Sn + Br + Cl + Cs + Sn*Br + Cs*Sn + Cs*Br","0.0865042231021306","0.0130683449175414","0.920228825587222","0.09987865;0.09086899;0.09374732;0.08178098;0.06624518"
