Model ID,k,Terms,AIC rank,BIC rank,AIC,BIC,Train RMSE,Test RMSE,Test R2,Contains Cl2,Interaction count
212,4,"Br, Br², Cl², SnBr",236,235,-2146.7692643472406,-2125.5193881359432,0.12470259529105794,0.16703375082316604,0.8218837929583442,Yes,1
357,5,"Br, Br², Cl², SnBr, SnCl",234,236,-2150.1258260807867,-2124.62597462723,0.12405949368967434,0.16362537759377827,0.8290786576927952,Yes,2
111,3,"Sn², Br², Cl²",237,237,-2126.0332547347575,-2109.0333537657198,0.1274695636934891,0.17697237679603003,0.8000571222408184,Yes,0
243,4,"Sn², Br², Cl², SnCl",238,238,-2124.669763913878,-2103.4198877025806,0.12739127158154515,0.1766926895580818,0.8006886025099784,Yes,1
242,4,"Sn², Br², Cl², SnBr",239,239,-2124.1765940907057,-2102.9267178794084,0.1274519284220418,0.17730925086806493,0.7992951990565118,Yes,1
377,5,"Sn², Br², Cl², SnBr, SnCl",241,240,-2122.887753237504,-2097.387901783947,0.12736446944280436,0.17713222504092122,0.7996957669530537,Yes,2
465,6,"Cl, Br², Cl², SnBr, SnCl, BrCl",240,241,-2123.997295210723,-2094.247468514907,0.12698275960172314,0.1521709201314524,0.852171454234971,Yes,3
235,4,"Cl, Br², SnBr, SnCl",245,242,-2111.8175628152394,-2090.567686603942,0.12898148002897522,0.15007191228764155,0.8562215476781836,No,2
373,5,"Cl, Br², Cl², SnBr, BrCl",242,243,-2114.0384495580265,-2088.5385981044697,0.12845705079213082,0.15590923858977446,0.8448189548683078,Yes,2
372,5,"Cl, Br², Cl², SnBr, SnCl",243,244,-2113.4731204455657,-2087.973268992009,0.12852716693890748,0.1479641627102442,0.8602319026694402,Yes,2
375,5,"Cl, Br², SnBr, SnCl, BrCl",244,245,-2112.37748367351,-2086.8776322199533,0.12866316460222313,0.1480448357468727,0.8600794523673116,No,3
102,3,"Cl, Br², SnBr",253,246,-2102.4406420312757,-2085.440741062238,0.1304057067762603,0.15360263091385173,0.8493766577789535,No,1
232,4,"Cl, Br², Cl², SnBr",247,247,-2105.176360124701,-2083.926483913404,0.1298109622579458,0.15098712488629762,0.8544625363774996,Yes,1
79,3,"Br, Cl, SnCl",255,248,-2100.2820281624436,-2083.282127193406,0.13067770391300862,0.1420804741309769,0.8711264574856674,No,1
194,4,"Br, Cl, Br², SnCl",248,249,-2104.264465807214,-2083.0145895959167,0.12992527305994378,0.1453077829073547,0.8652053286783065,No,1
236,4,"Cl, Br², SnBr, BrCl",249,250,-2103.9918572386646,-2082.7419810273673,0.12995946553396268,0.15098702544048329,0.8544627280903603,No,2
382,5,"Br², Cl², SnBr, SnCl, BrCl",246,251,-2106.964711147588,-2081.464859694031,0.12933714810976,0.14746477692055593,0.8611737579717942,Yes,3
197,4,"Br, Cl, Cl², SnCl",256,252,-2099.9569173823593,-2078.707041171062,0.13046660946317745,0.14410404442190847,0.8674293727679805,Yes,1
201,4,"Br, Cl, SnCl, BrCl",257,253,-2099.886505127782,-2078.636628916485,0.13047547699243153,0.14407892270702977,0.8674755909184407,No,2
220,4,"Br, Cl², SnCl, BrCl",258,254,-2099.8495332137236,-2078.5996570024263,0.1304801333767938,0.14397227134612647,0.8676717150586446,Yes,2
253,4,"Br², Cl², SnBr, BrCl",259,255,-2099.169352797922,-2077.9194765866246,0.13056582755820018,0.1502464484312129,0.8558869197135364,Yes,2
338,5,"Br, Cl, Br², Cl², SnCl",250,256,-2103.388373053197,-2077.88852159964,0.12978439972284664,0.14694743318622755,0.862146124458944,Yes,1
342,5,"Br, Cl, Br², SnCl, BrCl",251,257,-2103.356154222876,-2077.856302769319,0.12978843598401893,0.14695053194702568,0.8621403103976816,No,2
359,5,"Br, Br², Cl², SnCl, BrCl",252,258,-2103.1026854145416,-2077.6028339609848,0.12982019403892098,0.14677212056554076,0.8624748557254213,Yes,2
345,5,"Br, Cl, Cl², SnCl, BrCl",260,259,-2098.0129779467275,-2072.5131264931706,0.13045954977797383,0.14403105843157818,0.867563627823083,Yes,2
451,6,"Br, Cl, Br², Cl², SnCl, BrCl",254,260,-2101.401691334722,-2071.6518646389054,0.12978273129228424,0.14690184980559684,0.8622316362765154,Yes,2
19,2,"Br, Cl",266,261,-2072.81953767018,-2060.0696119434015,0.13444735552204068,0.1446432889692518,0.8664353445437964,No,0
76,3,"Br, Cl, Br²",261,262,-2076.536727646789,-2059.5368266777514,0.13370744815474922,0.14810736364861488,0.8599612343180103,No,0
92,3,"Br, Cl², BrCl",267,263,-2072.5980984868597,-2055.598197517822,0.13421674002212522,0.1462030914131323,0.8635391466653607,Yes,1
77,3,"Br, Cl, Cl²",268,264,-2071.7557181670677,-2054.75581719803,0.13432591716352213,0.1465535687863242,0.862884115836405,Yes,0
80,3,"Br, Cl, BrCl",269,265,-2071.5767888108767,-2054.576887841839,0.1343491188291086,0.14636855911709296,0.8632300883352545,No,1
214,4,"Br, Br², Cl², BrCl",262,266,-2075.7910558086646,-2054.5411795973673,0.1335456609635495,0.14914882383160188,0.8579848629874469,Yes,1
192,4,"Br, Cl, Br², Cl²",263,267,-2075.0787301827518,-2053.8288539714545,0.13363751492856055,0.14953589520821436,0.8572467904730475,Yes,0
195,4,"Br, Cl, Br², BrCl",264,268,-2074.9598407038643,-2053.709964492567,0.13365285180712133,0.149383435921392,0.8575377300861549,No,1
198,4,"Br, Cl, Cl², BrCl",270,269,-2070.7525741990385,-2049.502697987741,0.1341967287471881,0.14610985057129483,0.8637131466464816,Yes,1
339,5,"Br, Cl, Br², Cl², BrCl",265,270,-2073.8561694064906,-2048.3563179529338,0.1335372677538966,0.1490631063496863,0.8581480514269567,Yes,1
