id,FA,MA,Cs,Pb,Sn,Br,Cl,I,Eg,source_row_index,sample_id,original_split,A_sum,B_sum,X_sum,A_closure_error,B_closure_error,X_closure_error,numeric_complete,fractions_within_0_1,closure_pass,dataset_index
329,0.0,0.0,1.0,0.0,1.0,0.2,0.0,0.8,1.4,329,train_329,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,323
330,0.1,0.9,0.0,0.9,0.1,0.0,0.0,1.0,1.44,330,train_330,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,324
331,0.2,0.8,0.0,1.0,0.0,0.0,0.0,1.0,1.556,331,train_331,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,325
333,0.6,0.4,0.0,0.4,0.6,0.16,0.0,0.84,1.32,333,train_333,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,326
334,0.76,0.09,0.15,1.0,0.0,0.01,0.0,0.99,1.599,334,train_334,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,327
335,0.765,0.135,0.1,1.0,0.0,0.15,0.0,0.85,1.611,335,train_335,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,328
336,1.0,0.0,0.0,0.0,1.0,0.25,0.0,0.75,1.63,336,train_336,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,329
337,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,2.28,337,train_337,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,330
338,0.0,1.0,0.0,1.0,0.0,0.01,0.0,0.99,1.6,338,train_338,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,331
339,0.925,0.0,0.075,1.0,0.0,0.0,0.0,1.0,1.51,339,train_339,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,332
340,0.95,0.0,0.05,1.0,0.0,0.0,0.0,1.0,1.554,340,train_340,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,333
341,0.0,1.0,0.0,0.0,1.0,0.333,0.0,0.667,1.503,341,train_341,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,334
342,0.6,0.4,0.0,1.0,0.0,0.133,0.0,0.867,1.58,342,train_342,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,335
343,0.83,0.12,0.05,1.0,0.0,0.163,0.0,0.837,1.6,343,train_343,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,336
344,0.0,1.0,0.0,0.65,0.35,0.0,0.0,1.0,1.25,344,train_344,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,337
345,0.79,0.16,0.05,0.748,0.252,0.173,0.0,0.827,1.38,345,train_345,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,338
346,0.75,0.15,0.1,1.0,0.0,0.17,0.0,0.83,1.61,346,train_346,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,339
347,0.9,0.0,0.1,1.0,0.0,0.3,0.0,0.7,1.7,347,train_347,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,340
348,0.0,0.0,1.0,0.3,0.7,0.0,0.0,1.0,1.29,348,train_348,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,341
349,0.0,1.0,0.0,1.0,0.0,0.2,0.8,0.0,2.98,349,train_349,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,342
350,0.83,0.17,0.0,1.0,0.0,0.4,0.0,0.6,1.72,350,train_350,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,343
351,0.0,1.0,0.0,0.38,0.62,0.0,0.0,1.0,1.22,351,train_351,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,344
