cv_rank,model_id,k,terms,pareto_front,cv_rmse,cv_sd,cv_pooled,fold1,fold2,fold3,fold4,fold5,train_rmse,test_rmse,test_r2,cl_rich_rmse,ma_rich_rmse,Sn,Br,Cl,Sn^2,Br^2,Cl^2,SnBr,SnCl,BrCl,formula
261,193,4,"Br, Cl, Br², SnCl",No,0.13576472447620283,0.009655784712478424,0.1360742016275736,0.14639154454789294,0.1379227146850365,0.14145250540891438,0.13164611008636992,0.12141074765280038,0.12992527305994378,0.1453077829073547,0.8652053286783065,0.1084001974834631,0.13387245386931743,0,1,1,0,1,0,0,1,0,Eg = 1.47695 + 0.56322*Br + 1.64257*Cl + 0.19288*Br² - 0.62715*SnCl
262,337,5,"Br, Cl, Br², Cl², SnCl",No,0.13633176222739898,0.009472099907557279,0.13662694675296447,0.14743440913624709,0.13739637183978112,0.14112537784335266,0.13366794898159642,0.1220347033360176,0.12978439972284664,0.14694743318622755,0.862146124458944,0.1310731695160785,0.13615459216339706,0,1,1,0,1,1,0,1,0,Eg = 1.47547 + 0.57822*Br + 1.46393*Cl + 0.18446*Br² + 0.21741*Cl² - 0.63369*SnCl
263,341,5,"Br, Cl, Br², SnCl, BrCl",No,0.13635765470982894,0.009470737380649994,0.1366526529343346,0.1474456765973259,0.13740328767576815,0.141154199344945,0.13374145318052236,0.12204365675058335,0.12978843598401893,0.14695053194702568,0.8621403103976816,0.1310610783257618,0.13615524058040065,0,1,1,0,1,0,0,1,1,Eg = 1.47551 + 0.57756*Br + 1.68128*Cl + 0.18502*Br² - 0.63514*SnCl - 0.21663*BrCl
264,450,6,"Br, Cl, Br², Cl², SnCl, BrCl",No,0.13645732469145272,0.009543671485546835,0.13675661852251783,0.14759283298647086,0.13766611000991003,0.1412730065480877,0.13372724225263535,0.12202743166015963,0.12978273129228424,0.14690184980559684,0.8622316362765154,0.13055731449258245,0.13609719415420055,0,1,1,0,1,1,0,1,1,Eg = 1.47545 + 0.57867*Br + 1.20951*Cl + 0.18398*Br² + 0.47106*Cl² - 0.63181*SnCl + 0.25754*BrCl
265,358,5,"Br, Br², Cl², SnCl, BrCl",No,0.13654727173745176,0.009762711790559939,0.1368596781889295,0.14811069712084537,0.13779970656817386,0.14137359248889836,0.13351600507811145,0.12193635743122977,0.12982019403892098,0.14677212056554076,0.8624748557254213,0.12918209574645756,0.13594114773332794,0,1,0,0,1,1,0,1,1,Eg = 1.47530 + 0.58141*Br + 0.18136*Br² + 1.67781*Cl² - 0.62264*SnCl + 1.47418*BrCl
266,78,3,"Br, Cl, SnCl",No,0.13660649193823632,0.010039117665616595,0.13693786735827376,0.14882908738129325,0.1396546413165921,0.1405776976941253,0.13165218965364886,0.12231884364552209,0.13067770391300862,0.1420804741309769,0.8711264574856674,0.10115702616406155,0.1326664830340891,0,1,1,0,0,0,0,1,0,Eg = 1.46476 + 0.72141*Br + 1.63894*Cl - 0.62788*SnCl
267,196,4,"Br, Cl, Cl², SnCl",No,0.1369732700708208,0.009561966714054867,0.1372724666315316,0.14906706963860608,0.1389062369598196,0.14001103608789528,0.13395921568796454,0.12292279197981848,0.13046660946317745,0.14410404442190847,0.8674293727679805,0.12764603220697177,0.13532047025556115,0,1,1,0,0,1,0,1,0,Eg = 1.46360 + 0.73130*Br + 1.42097*Cl + 0.26552*Cl² - 0.63582*SnCl
268,200,4,"Br, Cl, SnCl, BrCl",No,0.1369942140656001,0.009560621882916228,0.13729326246188092,0.14906889897585635,0.13892101629544726,0.14004165656871462,0.134014633094803,0.12292486539317934,0.13047547699243153,0.14407892270702977,0.8674755909184407,0.12741837060411593,0.13529495950864737,0,1,1,0,0,0,0,1,1,Eg = 1.46362 + 0.73100*Br + 1.68609*Cl - 0.63754*SnCl - 0.26288*BrCl
269,344,5,"Br, Cl, Cl², SnCl, BrCl",No,0.13710082887131533,0.009644527780462944,0.13740491260046953,0.14918791426102124,0.1392230846217921,0.14023450090518053,0.13396358412985782,0.12289506043872497,0.13045954977797383,0.14403105843157818,0.867563627823083,0.12663039906304194,0.13521436797364625,0,1,1,0,0,1,0,1,1,Eg = 1.46362 + 0.73140*Br + 0.89719*Cl + 0.78766*Cl² - 0.63194*SnCl + 0.53042*BrCl
270,219,4,"Br, Cl², SnCl, BrCl",No,0.1371673784582166,0.009831774871435252,0.13748264289022738,0.14963361675838038,0.1392844221703037,0.14028927110099113,0.13380493678448663,0.1228246454769212,0.1304801333767938,0.14397227134612647,0.8676717150586446,0.12567037789355914,0.13511700551983452,0,1,0,0,0,1,0,1,1,Eg = 1.46363 + 0.73182*Br + 1.68275*Cl² - 0.62512*SnCl + 1.43334*BrCl
271,212,4,"Br, Br², Cl², SnCl",No,0.13966262206129748,0.008890071280137048,0.1398855841662623,0.1300270034774667,0.14332935756142615,0.14419124225440536,0.15008578899277786,0.1306797180204112,0.13825939334606047,0.17900955849584818,0.7954274238697346,0.36362852099712634,0.17417110059869131,0,1,0,0,1,1,0,1,0,Eg = 1.46547 + 0.70019*Br + 0.11519*Br² + 1.86465*Cl² - 0.57640*SnCl
272,90,3,"Br, Cl², SnCl",No,0.13977279400276213,0.008514690055292602,0.1399770750965109,0.13079553323174692,0.14397381465788034,0.14319865410556468,0.14991137983008637,0.13098458818853234,0.1385123252529091,0.17625186010215413,0.8016818833474342,0.35563892641806316,0.17233105761889927,0,1,0,0,0,1,0,1,0,Eg = 1.45816 + 0.79459*Br + 1.86449*Cl² - 0.57881*SnCl
273,85,3,"Br, Br², Cl²",No,0.14220389619479548,0.010054041736180496,0.1425001653012469,0.1361139232609582,0.14949808987149038,0.14776822870899567,0.15022517821716205,0.12741406091537116,0.1412746013537799,0.18239467934445114,0.7876172196534332,0.3827854832463073,0.17803397699382068,0,1,0,0,1,1,0,0,0,Eg = 1.46597 + 0.69275*Br + 0.12099*Br² + 1.74710*Cl²
274,21,2,"Br, Cl²",No,0.14223747399239234,0.009846812730257018,0.14252192526654342,0.13641178269446724,0.15018897205553025,0.14676607343955247,0.15004636331712057,0.1277741784552913,0.14154773250032915,0.17947431101671632,0.7943638042393736,0.37442025441537163,0.17605789863020951,0,1,0,0,0,1,0,0,0,Eg = 1.45830 + 0.79189*Br + 1.74642*Cl²
275,102,3,"Cl, Br², SnCl",No,0.14235280021648297,0.008307544230593935,0.14256801743706277,0.14556141276479,0.13932745678488595,0.15336911346101414,0.1427754166596493,0.13073060141207551,0.13815624613849206,0.1648382156981415,0.8265354311713353,0.15432775392122244,0.14943274251376878,0,0,1,0,1,0,0,1,0,Eg = 1.52821 + 1.66360*Cl + 0.80249*Br² - 0.62977*SnCl
276,26,2,"Cl, Br²",No,0.1424495515156488,0.011749520896809754,0.1428595084482507,0.13252801732013034,0.14822493388712324,0.15827753973087932,0.14373798186013956,0.12947928477997156,0.14174841336570065,0.16824055030584714,0.8193007575916627,0.19118502807536045,0.15389672680110245,0,0,1,0,1,0,0,0,0,Eg = 1.52803 + 1.55374*Cl + 0.80479*Br²
277,100,3,"Cl, Br², Cl²",No,0.14293268562784373,0.012262143786176974,0.14337737006538612,0.13242306590568434,0.14967888906837565,0.15922235966902118,0.14379943284337754,0.12953968065275984,0.14164966341149515,0.16592605280865258,0.8242383442484729,0.16931983106542853,0.1511083388795719,0,0,1,0,1,1,0,0,0,Eg = 1.52813 + 1.70702*Cl + 0.79807*Br² - 0.18594*Cl²
278,103,3,"Cl, Br², BrCl",No,0.14296385875148127,0.012303543337906685,0.1434114562181843,0.13241959786617102,0.1497687119141148,0.15931311459276798,0.14377296832779568,0.12954490105655678,0.14164161908726944,0.16581102892368607,0.8244819441021589,0.16810694135989387,0.15096225825219708,0,0,1,0,1,0,0,0,1,Eg = 1.52815 + 1.51958*Cl + 0.79783*Br² + 0.19557*BrCl
279,233,4,"Cl, Br², Cl², BrCl",No,0.14297316222314657,0.012364633560641219,0.1434251068021093,0.13236467717132952,0.1498159689797755,0.15943146175934161,0.14372423676711038,0.12952946643817584,0.14162686571827707,0.1657294531656981,0.8246546044668154,0.1670111890602938,0.15083726127675104,0,0,1,0,1,1,0,0,1,Eg = 1.52821 + 0.73757*Cl + 0.79805*Br² + 0.78178*Cl² + 0.98292*BrCl
280,122,3,"Br², Cl², BrCl",No,0.14297987862863906,0.012359042134888865,0.14343170894655038,0.13247076997185434,0.14984689264198903,0.15946758325662505,0.14359401870900923,0.1295201285637176,0.14163998123251487,0.1656520075581746,0.8248184444784792,0.16597038956636098,0.15071908384294808,0,0,0,0,1,1,0,0,1,Eg = 1.52827 + 0.79823*Br² + 1.51864*Cl² + 1.72615*BrCl
281,232,4,"Cl, Br², Cl², SnCl",No,0.1440430908468176,0.00956076303983017,0.1443239935050901,0.15238110524741932,0.14008791755069505,0.15394814603611592,0.143234944587386,0.13056334081247167,0.13810959520352076,0.16345943943733765,0.8294251563988531,0.1388932987547207,0.14771986560815614,0,0,1,0,1,1,0,1,0,Eg = 1.52827 + 1.76710*Cl + 0.79794*Br² - 0.12636*Cl² - 0.62593*SnCl
282,236,4,"Cl, Br², SnCl, BrCl",No,0.14411868450395043,0.009592509452363883,0.14440118315861225,0.15256004742136783,0.14012307882810324,0.15398442863014886,0.14333086263919198,0.13059500500094018,0.13811448130233678,0.16351707972723317,0.8293048364346874,0.13952179803093115,0.14778837127197583,0,0,1,0,1,0,0,1,1,Eg = 1.52828 + 1.64167*Cl + 0.79820*Br² - 0.62527*SnCl + 0.12102*BrCl
283,373,5,"Cl, Br², Cl², SnCl, BrCl",No,0.14417295477078432,0.00961795483927573,0.14445659798550115,0.15277979384180174,0.14005003114950337,0.1539392445408885,0.14345212623770726,0.13064357808402075,0.13809576274381913,0.16357043059373735,0.8291934325308161,0.14046077576618485,0.14788109364051882,0,0,1,0,1,1,0,1,1,Eg = 1.52822 + 2.52096*Cl + 0.79796*Br² - 0.87780*Cl² - 0.63152*SnCl - 0.76379*BrCl
284,253,4,"Br², Cl², SnCl, BrCl",No,0.1443847976664959,0.0099333469094491,0.1446869353948381,0.15364337247049106,0.1404521455857764,0.15426295196094472,0.14312068674712608,0.13044483156814118,0.1382494393185319,0.16340466759730296,0.8295394493734092,0.1375970383530954,0.14759908767443525,0,0,0,0,1,1,0,1,1,Eg = 1.52842 + 0.79855*Br² + 1.63702*Cl² - 0.61231*SnCl + 1.77498*BrCl
285,120,3,"Br², Cl², SnBr",No,0.14678736389428954,0.010396480605808207,0.14709143657911855,0.15363861235450646,0.13945922535069186,0.15278374840186298,0.1558706943957351,0.13218453896865134,0.14476410046412572,0.1929298118888608,0.7623741666160178,0.44160305868152616,0.19256086123020066,0,0,0,0,1,1,1,0,0,Eg = 1.53836 + 0.90739*Br² + 1.75511*Cl² - 0.62558*SnBr
