model_id,id,Sn,Br,Cl,Cs,Bg,prediction,shap_base_value,shap_term__Sn,shap_term__Br,shap_term__Cl,shap_term__Cs,shap_term__Sn^2,shap_term__Br^2,shap_term__Cl^2,shap_term__Sn*Br,shap_term__Sn*Cl,shap_term__Cs*Br,shap_term__Cs*Cl,shap_reconstruction_error
m4_full_s3,43,0.0,0.256,0.0,0.0,1.72,1.6769762392161733,1.6512277992277937,0.1515777687699602,0.020769684048337424,-0.0396239645662496,-0.010985655328974532,-0.09117311925898199,-0.012772917389516032,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,44,0.0,0.0,0.0,0.23,1.644,1.5729621099842324,1.6512277992277937,0.1515777687699602,-0.08291688231396835,-0.0396239645662496,0.010336922085626817,-0.09117311925898199,-0.03442305767375257,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,45,0.0,0.025,0.0,0.0,1.6,1.5619716456433066,1.6512277992277937,0.1515777687699602,-0.07279124106764942,-0.0396239645662496,-0.010985655328974532,-0.09117311925898199,-0.034216585846395885,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,46,0.0,0.15,0.0,0.05,1.63,1.623912225158398,1.6512277992277937,0.1515777687699602,-0.022163034836054814,-0.0396239645662496,-0.006350312412756848,-0.09117311925898199,-0.02699007188891184,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0016082657415122808,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,47,0.0,0.023,0.0,0.0,1.61,1.561129880270919,1.6512277992277937,0.1515777687699602,-0.07360129236735494,-0.0396239645662496,-0.010985655328974532,-0.09117311925898199,-0.03424829991907787,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,48,0.0,0.095,0.0,0.3,1.63,1.6188224423472013,1.6512277992277937,0.1515777687699602,-0.04443944557795644,-0.0396239645662496,0.01682640216833157,-0.09117311925898199,-0.03144160448672201,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,6.971168893874696e-05,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,49,0.0,0.3,0.0,0.15,1.72,1.7134882978722452,1.6512277992277937,0.1515777687699602,0.03859081264185872,-0.0396239645662496,0.00292037341967852,-0.09117311925898199,-0.004691114534389648,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,-0.001139152209511887,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,50,0.75,0.4,0.0,0.0,1.34,1.3945372288891738,1.6512277992277937,-0.655880933645089,0.07909337762713442,-0.0396239645662496,-0.010985655328974532,0.40155761390805017,0.018433730129559303,-0.0009956828623808517,-0.053381438123441885,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,51,0.0,0.067,0.0,0.05,1.57,1.5846491212751654,1.6512277992277937,0.1515777687699602,-0.05578016377383363,-0.0396239645662496,-0.006350312412756848,-0.09117311925898199,-0.0329400944209459,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.001912313328092289,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,52,0.0,0.05,0.0,0.05,1.538,1.5771688840911784,1.6512277992277937,0.1515777687699602,-0.06266559982133049,-0.0396239645662496,-0.006350312412756848,-0.09117311925898199,-0.03359717036432582,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0019745881349821698,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,53,0.084,0.173,0.0,0.05,1.38,1.548570434776921,1.6512277992277937,0.06114239409947469,-0.012847444889441407,-0.0396239645662496,-0.006350312412756848,-0.08499230494213472,-0.024535865160219314,-0.0009956828623808517,0.0010871715007660905,0.00042770367681941815,0.0015240115910142066,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,54,0.25,0.4,0.0,0.0,1.59,1.5330210780241924,1.6512277992277937,-0.1175751320350562,0.07909337762713442,-0.0396239645662496,-0.010985655328974532,-0.036425260018200636,0.018433730129559303,-0.0009956828623808517,-0.015220516672205338,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
